index,portLOCAL,port4,port1,port2,port3
109,0.0,576640.0,640.0,988480.0,10439440.0
110,0.0,573776.0,480.0,1298864.0,10897152.0
111,0.0,580688.0,480.0,142608.0,11604144.0
112,0.0,588293.3333333334,640.0,145392.0,12527562.666666666
113,0.0,597541.3333333334,480.0,856816.0,6827360.0
114,0.0,577296.0,640.0,844810.6666666666,755568.0
115,0.0,556928.0,480.0,2239978.6666666665,1392528.0
116,0.0,560912.0,480.0,9288469.333333334,1431829.3333333333
117,0.0,560752.0,640.0,9344250.666666666,1431493.3333333333
118,0.0,605429.3333333334,480.0,12262501.333333334,1113525.3333333333
119,0.0,97088.0,480.0,19985440.0,1396560.0
120,0.0,79504.0,716234.6666666666,20041034.666666668,1074576.0
121,0.0,267280.0,716074.6666666666,19880202.666666668,141760.0
122,0.0,250928.0,397930.6666666667,19550469.33333333,790752.0
123,0.0,265520.0,676581.3333333334,19895946.666666668,984560.0
124,0.0,259024.0,716234.6666666666,19506944.0,1460064.0
125,0.0,269941.3333333333,993253.3333333334,19868602.666666668,1460224.0
126,0.0,293264.0,1512997.3333333333,18398304.0,1472272.0
127,0.0,635066.6666666666,1794768.0,11223312.0,1508608.0
128,0.0,1171749.3333333333,1439925.3333333333,10687941.333333334,1415712.0
129,0.0,794378.6666666666,1763962.6666666667,10734416.0,1464256.0
130,0.0,1148496.0,754410.6666666666,10973648.0,1774560.0
131,0.0,825440.0,1045376.0,10678501.333333334,1919712.0
132,0.0,1104058.6666666667,755130.6666666666,11013136.0,1903744.0
133,0.0,1140224.0,1028858.6666666666,11050000.0,1928357.3333333333
134,0.0,765338.6666666666,770400.0,7877845.333333333,2016784.0
135,0.0,1365984.0,1078608.0,802117.3333333334,1353696.0
136,0.0,1586832.0,759792.0,1069637.3333333333,1178816.0
137,0.0,1013909.3333333334,1035594.6666666666,1032453.3333333334,1126880.0
138,0.0,1217445.3333333333,8576.0,1381338.6666666667,1108992.0
139,0.0,1350421.3333333333,8400.0,1019525.3333333334,1117472.0
140,0.0,1350149.3333333333,8560.0,1535781.3333333333,339024.0
141,0.0,972544.0,656.0,1656581.3333333333,8560.0
142,0.0,1009429.3333333334,716624.0,1672709.3333333333,5936.0
143,0.0,1915392.0,716234.6666666666,2062746.6666666667,10864.0
144,0.0,2050560.0,1073872.0,1713141.3333333333,4976.0
145,0.0,3042256.0,716234.6666666666,1608181.3333333333,14528.0
146,0.0,3431536.0,716074.6666666666,358565.3333333333,5936.0
147,0.0,3512224.0,716074.6666666666,480.0,640.0
148,0.0,3495936.0,716234.6666666666,640.0,480.0
149,0.0,3840906.6666666665,358453.3333333333,480.0,7888.0
150,0.0,4240256.0,358986.6666666667,480.0,10688.0
151,0.0,3041653.333333333,716074.6666666666,4672.0,10784.0
152,0.0,2562666.6666666665,358277.3333333333,4624.0,10320.0
153,0.0,1900485.3333333333,869450.6666666666,640.0,3824.0
154,0.0,2247898.6666666665,576005.3333333334,173856.0,7504.0
155,0.0,1920453.3333333333,937834.6666666666,448032.0,3648.0
156,0.0,2273280.0,698677.3333333334,440384.0,96048.0
157,0.0,1783688.0,819688.0,444445.3333333333,124701.33333333331
158,0.0,1724304.0,943648.0,444160.0,116544.0
159,0.0,1031802.6666666666,580389.3333333334,453637.3333333333,434048.0
160,0.0,1178.6666666666667,218208.0,436048.0,476704.0
161,0.0,357925.3333333333,226288.0,432064.0,544800.0
162,0.0,592.0,218208.0,798314.6666666666,553541.3333333334
163,0.0,640.0,218208.0,1505296.0,573120.0
164,0.0,480.0,218368.0,1151690.6666666667,560640.0
165,0.0,358437.3333333333,230512.0,1913109.3333333333,924602.6666666666
166,0.0,480.0,222400.0,1567194.6666666667,935941.3333333334
167,0.0,4976.0,12752.0,1867088.0,934565.3333333334
168,0.0,375616.0,480.0,1507066.6666666667,932421.3333333334
169,0.0,581088.0,640.0,1886960.0,1252394.6666666667
170,0.0,544960.0,480.0,1491642.6666666667,537813.3333333334
171,0.0,544800.0,640.0,1841360.0,482805.3333333333
172,0.0,548832.0,480.0,1494320.0,835520.0
173,0.0,561088.0,480.0,1638042.6666666667,1796160.0
174,0.0,565072.0,640.0,1751760.0,1406874.6666666667
175,0.0,568378.6666666666,480.0,1626954.6666666667,7207045.333333333
