index,portLOCAL,port1,port2,port3
174,0.0,1970538.6666666667,1751424.0,640.0
175,0.0,1607189.3333333333,1631162.6666666667,480.0
176,0.0,1604565.3333333333,1747952.0,640.0
177,0.0,1135269.3333333333,1630810.6666666667,480.0
178,0.0,1040117.3333333334,1954330.6666666667,480.0
179,0.0,1011461.3333333334,899472.0,640.0
180,0.0,1027861.3333333334,895552.0,480.0
181,0.0,1019712.0,887536.0,640.0
182,0.0,1031818.6666666666,903648.0,480.0
183,0.0,1015653.3333333334,843184.0,480.0
184,0.0,1027589.3333333334,685776.0,640.0
185,0.0,1015877.3333333334,661808.0,480.0
186,0.0,2093226.6666666667,303301.3333333333,640.0
187,0.0,1747216.0,24240.0,480.0
188,0.0,2024005.3333333333,27232.0,480.0
189,0.0,2051194.6666666667,20880.0,640.0
190,0.0,2887930.6666666665,32128.0,480.0
191,0.0,2127274.6666666665,16832.0,480.0
192,0.0,2135450.6666666665,16432.0,640.0
193,0.0,2082032.0,28272.0,480.0
194,0.0,1848565.3333333333,25125.33333333333,640.0
195,0.0,2189493.333333333,32160.0,480.0
196,0.0,1835920.0,23344.0,480.0
197,0.0,1835920.0,25648.0,640.0
198,0.0,2198458.6666666665,32709.33333333333,480.0
199,0.0,2065045.3333333333,53008.0,640.0
200,0.0,716074.6666666666,125184.0,480.0
201,0.0,716346.6666666666,125296.0,480.0
202,0.0,716074.6666666666,125344.0,640.0
203,0.0,716074.6666666666,125184.0,480.0
204,0.0,1074176.0,133461.33333333334,480.0
205,0.0,716186.6666666666,125296.0,640.0
206,0.0,726624.0,444426.6666666667,480.0
207,0.0,366453.3333333333,8672.0,640.0
208,0.0,467493.3333333333,8576.0,480.0
209,0.0,117360.0,357861.3333333333,480.0
210,0.0,109344.0,303040.0,640.0
211,0.0,109344.0,653664.0,480.0
212,0.0,5541221.333333333,1369808.0,480.0
213,0.0,6552336.0,1011269.3333333334,640.0
214,0.0,6508613.333333333,2237914.6666666665,480.0
215,0.0,7167776.0,2868698.6666666665,480.0
216,0.0,7258042.666666667,3168122.6666666665,640.0
217,0.0,7341850.666666667,2615264.0,480.0
218,0.0,7333861.333333333,2847797.333333333,640.0
219,0.0,7937082.666666667,3236970.6666666665,480.0
220,0.0,8400650.666666666,2874101.333333333,480.0
221,0.0,8203418.666666667,2850618.6666666665,640.0
222,0.0,8211258.666666667,2854757.333333333,480.0
