index,portLOCAL,port1,port2
334,0.0,640.0,480.0
335,0.0,480.0,640.0
336,0.0,480.0,480.0
337,0.0,640.0,480.0
338,0.0,480.0,640.0
339,0.0,640.0,480.0
340,0.0,10853072.0,572133.3333333334
341,0.0,10693360.0,576005.3333333334
342,0.0,10644960.0,218368.0
343,0.0,10648848.0,576005.3333333334
344,0.0,10649152.0,218208.0
345,0.0,10681104.0,406821.3333333333
346,0.0,10681104.0,358277.3333333333
347,0.0,10657216.0,640.0
348,0.0,10729600.0,358389.3333333333
349,0.0,10806400.0,39973.333333333336
350,0.0,11023824.0,318944.0
351,0.0,11007872.0,358629.3333333333
352,0.0,10967680.0,640.0
353,0.0,8318682.666666667,4512.0
354,0.0,640.0,480.0
355,0.0,480.0,640.0
356,0.0,640.0,480.0
357,0.0,480.0,640.0
358,0.0,480.0,480.0
359,0.0,640.0,480.0
360,0.0,480.0,640.0
361,0.0,640.0,480.0
362,0.0,480.0,640.0
363,0.0,480.0,480.0
364,0.0,640.0,480.0
365,0.0,480.0,640.0
366,0.0,640.0,480.0
367,0.0,480.0,640.0
368,0.0,480.0,480.0
369,0.0,640.0,480.0
370,0.0,480.0,640.0
371,0.0,480.0,480.0
372,0.0,640.0,480.0
373,0.0,480.0,640.0
374,0.0,480.0,480.0
375,0.0,640.0,480.0
376,0.0,480.0,640.0
377,0.0,480.0,480.0
378,0.0,640.0,480.0
379,0.0,480.0,640.0
380,0.0,480.0,480.0
381,0.0,640.0,480.0
382,0.0,480.0,640.0
383,0.0,640.0,480.0
384,0.0,480.0,640.0
385,0.0,480.0,480.0
386,0.0,640.0,480.0
387,0.0,480.0,640.0
388,0.0,480.0,480.0
389,0.0,640.0,480.0
390,0.0,480.0,640.0
391,0.0,480.0,480.0
392,0.0,640.0,640.0
393,0.0,480.0,480.0
394,0.0,640.0,480.0
395,0.0,480.0,640.0
396,0.0,480.0,480.0
397,0.0,640.0,480.0
398,0.0,480.0,640.0
399,0.0,640.0,480.0
400,0.0,480.0,640.0
401,0.0,480.0,480.0
402,0.0,640.0,480.0
403,0.0,480.0,640.0
404,0.0,480.0,480.0
405,0.0,640.0,640.0
406,0.0,480.0,480.0
407,0.0,640.0,480.0
408,0.0,480.0,640.0
409,0.0,640.0,480.0
410,0.0,480.0,640.0
411,0.0,480.0,480.0
412,0.0,640.0,480.0
413,0.0,480.0,640.0
414,0.0,480.0,480.0
415,0.0,640.0,640.0
416,0.0,480.0,480.0
417,0.0,640.0,480.0
418,0.0,480.0,640.0
419,0.0,480.0,480.0
420,0.0,640.0,640.0
