index,00:00:00:00:00:06,00:00:00:00:00:03,00:00:00:00:00:08,00:00:00:00:00:07,00:00:00:00:00:05,00:00:00:00:00:02,00:00:00:00:00:01,00:00:00:00:00:04
117,846720.0,1782256.0,1612800.0,104944.0,1464048.0,528192.0,318528.0,314496.0
118,983808.0,2092832.0,1967728.0,124992.0,2705696.0,617008.0,370944.0,366912.0
119,838880.0,1794352.0,1681568.0,104944.0,2314368.0,524272.0,314496.0,4419184.0
120,842688.0,1790208.0,1693440.0,104832.0,2322432.0,528304.0,314496.0,6491632.0
121,983808.0,2088576.0,1967616.0,129248.0,2429509.333333333,427962.6666666667,370944.0,1073082.6666666667
122,842688.0,1794464.0,1681456.0,105056.0,1891232.0,0.0,314496.0,314608.0
123,846720.0,1794240.0,1689408.0,104832.0,1899072.0,0.0,318528.0,318528.0
124,7818048.0,2104704.0,1975680.0,120960.0,1248133.3333333333,0.0,370224.0,370944.0
125,11128432.0,1790320.0,1689408.0,108864.0,1056608.0,0.0,108864.0,318528.0
126,11140416.0,1999984.0,1685600.0,104832.0,1056384.0,0.0,104944.0,314720.0
127,1006906.6666666666,2459520.0,1967728.0,120960.0,1229760.0,112.0,120960.0,370944.0
128,838656.0,2108736.0,1681344.0,104832.0,1056384.0,0.0,108976.0,314608.0
129,1100848.0,2108736.0,1697472.0,108864.0,1056496.0,0.0,104832.0,318528.0
130,1600928.0,2459632.0,1967616.0,121072.0,1225728.0,0.0,120960.0,366912.0
131,1370992.0,1998778.6666666667,1681344.0,104944.0,1056384.0,112.0,104944.0,318528.0
132,1374912.0,1798384.0,2104704.0,108864.0,672736.0,0.0,108864.0,314496.0
133,1600816.0,1267301.3333333333,2307072.0,129136.0,617008.0,4032.0,120960.0,211189.3333333333
134,1366848.0,1048432.0,1685488.0,105056.0,3491712.0,0.0,104832.0,224.0
135,1370880.0,1056384.0,1689632.0,104944.0,7886592.0,4955552.0,104832.0,112.0
136,1600704.0,1233792.0,1967616.0,129136.0,14799077.333333334,8763173.333333334,125104.0,224.0
137,1370992.0,1056384.0,1685376.0,104832.0,1439994.6666666667,0.0,104832.0,0.0
138,1600704.0,1229872.0,2330608.0,120960.0,1471904.0,0.0,124992.0,0.0
139,1415232.0,1056384.0,1995840.0,104832.0,1266048.0,0.0,104832.0,0.0
140,1681344.0,1052352.0,2016000.0,108864.0,1858752.0,0.0,104832.0,0.0
