port1,port2
480,480
720,2244288
480,3091248
480,5310624
480,6181536
480,6169440
720,9145056
480,10282320
480,10953408
480,13366560
720,14485440
480,18640656
480,10832448
480,10306272
480,10276032
720,10300224
480,10282320
6528,8021856
480,7197600
720,7215744
480,7191792
480,7203648
6528,4218184
480,3091008
720,3084960
480,3091248
480,3084960
480,3084960
720,3091008
480,3084960
480,3091248
480,3084960
480,3084960
720,3091008
480,3103344
6528,1358000
480,480
1107264,480
2057040,480
2062848,720
2056800,480
2068896,480
2056800,480
2099376,480
2008416,720
2099136,480
2062848,480
2582976,480
2982384,480
2970048,720
3024480,240
3205440,240
4832592,0
6096384,0
6090336,0
6096384,0
6096384,0
5393176,6048
5086368,0
4971884,428
4989600,0
4977504,0
4989600,0
4995648,0
5092416,0
5878656,0
6011712,0
6023808,0
4156704,6048
3005856,0
3943296,0
3955392,0
3961440,0
3961440,0
3955392,0
3955392,0
4015872,0
5981472,0
6846336,0
6852384,0
6858432,0
6858432,0
6876576,477792
6846336,840672
6864480,846720
6756304,846720
5836320,840672
4719728,864864
3695328,828576
3780000,840672
3755808,846720
3786048,955584
3640336,2909088
2739744,2896992
2745792,2909088
2739744,2896992
2727648,2896992
2757888,2909088
2727648,2896992
2245536,2915136
1790208,2993760
1802304,4929808
1790208,4112640
1784160,4112640
1796256,4118688
1790208,4118688
3471552,4118688
4874688,4118688
4886784,4112640
4874688,4118688
4874688,4118688
4880736,4112640
4880736,4124736
4684480,4112640
3937248,4118688
3925152,4118688
3931200,4112640
3943296,3988960
3931200,2056320
3931200,2056320
3925152,2056320
3937248,2062368
3925152,2056320
3263200,2068416
840672,2056320
846720,2062368
846720,1926592
846720,0
840672,0
840672,0
846720,0
846720,0
840672,0
840672,0
846720,0
406944,6048
0,0
0,0
0,0
0,0
0,2425248
0,4112640
0,4118688
0,5920992
0,8999424
0,10299744
0,12077856
0,13384224
0,13372128
0,16353792
0,10838016
0,10287648
0,10323936
0,10263456
0,10311840
0,10287648
0,10287648
0,10293696
0,10305792
0,10281600
12096,5973872
0,3090528
0,3084480
0,3084480
6048,2276296
0,0
0,0
2806272,0
3090528,0
3090528,0
3084480,0
3090528,0
3084480,0
3090528,417312
3084480,1028160
3090528,1034208
3084480,1028160
2323640,1034208
0,1028160
0,2261952
0,4124736
0,4935168
0,6422976
0,5908896
0,6168960
332640,6187104
846720,6175008
840672,6181056
840672,6168960
2062368,4936544
3931200,811640
3937248,0
3925152,0
3937248,0
3925152,0
3931200,0
2881136,6048
3931200,0
3931200,0
3925152,0
3937248,0
3931200,1173312
3931200,3084480
6634656,3090528
7021728,3090528
7009632,3084480
7765632,3090528
7850304,3084480
7880544,3090528
7850304,3084480
7862400,3090528
9646560,3090528
7010800,3090528
3755808,3096576
3737664,3084480
3755808,3084480
3737664,3084480
3755808,3090528
4112640,2918464
4771872,0
4777920,0
4771872,0
4771872,0
4771872,0
4777920,0
7414848,0
7862400,0
6055256,6048
5812128,0
5793984,0
6531840,0
6634656,0
6924960,0
6368544,0
5019280,6048
3574368,0
3550176,0
3562272,0
3556224,0
3556224,0
2962960,6048
2721600,0
2709504,0
2715552,0
2715552,0
2721600,0
2709504,0
2721600,0
2709504,0
1908448,6048
1874880,0
1874880,0
1874880,0
1868832,0
1874880,0
1868832,0
1874880,0
1875288,408
1474072,6048
846720,0
840672,0
846720,0
840672,0
840672,0
265552,6048
0,0
0,0
0,0
0,1536192
0,3084480
0,3090528
0,5110560
0,7191072
0,9725184
0,13825728
0,15434496
0,12561696
0,15386112
0,12573792
0,12337920
0,12337920
0,12350016
0,12337920
6048,8106048
0,6882624
0,7215264
0,7197120
0,7215264
0,7185024
6048,5176488
0,3090528
0,3084480
0,3096576
0,3084480
0,3090528
6048,2079392
0,0
447552,0
3084480,0
3090528,0
3084480,0
3090528,0
3084480,0
3090528,120960
3090528,840672
3078432,846720
3084480,840672
3096576,846720
1597880,846720
0,840672
0,846720
139104,840672
1028160,846720
1034208,840672
1028160,846720
1028588,841100
1028160,1118880
1028160,2890944
1034208,2903040
1028160,2903040
1028160,2896992
1149120,2896992
1983744,2909088
1977696,2896992
1977696,2909088
1971648,2896992
1983744,2633168
1977696,840672
1977696,943488
1983744,1687392
1971648,1687392
1977696,1687392
1977696,1687392
2056320,1753920
1899072,1614816
1983744,1802304
1977696,2630880
1971648,2636928
1983744,1807792
1977696,1790208
1983744,1796256
1977696,1784160
1977696,1796256
1971648,1790208
1983744,1796256
1977696,1790208
1977696,1796256
1977696,1784160
1977696,1790208
1977976,1796256
1977696,1790208
1977696,1796256
1977696,1784160
1977696,1796256
1977696,1790208
1983744,1790208
