port1,port2,port3,port4,port5
1681824,480,1893504,480,480
1681824,720,1899792,480,720
1693920,480,1893504,720,480
1681824,480,1905600,480,480
1682064,480,1887456,480,480
1693920,480,1899552,480,480
1681824,720,1899792,720,720
1693920,480,1899552,480,480
1682064,480,1893504,480,480
1262872,480,1899552,480,6528
847200,480,1893744,480,720
841152,720,1899552,720,480
841152,480,1893504,480,480
847440,480,1905600,480,480
841152,480,1887456,480,480
847200,720,1899792,480,720
10936,480,1899552,720,6528
6528,480,1205760,480,480
720,480,943968,480,480
480,480,950256,480,480
6528,720,101656,720,720
480,480,480,480,480
720,480,480,480,480
480,480,480,480,480
2298720,720,720,480,720
3091008,480,480,720,480
3084960,480,480,480,480
6895440,480,480,480,480
8219712,480,720,480,480
8969664,720,480,720,720
11310240,480,480,480,480
11334672,480,480,480,480
14316096,480,480,480,480
15441024,480,720,480,720
8630976,6792624,480,720,480
10475616,7209696,480,480,480
10580400,7197600,480,480,6528
6429504,7500000,480,480,480
5921472,6907296,720,480,720
6175488,7203888,480,720,480
6175488,7209696,480,480,480
6181776,7203648,480,480,480
6169440,6936416,6528,480,480
6169440,4113360,720,720,720
6169440,4113120,480,480,480
6181776,4125216,480,480,480
6169440,4107072,480,480,480
6181536,4125216,720,480,720
6181536,4113360,480,720,480
6169440,4119168,480,480,480
6163632,1082472,6528,480,480
6175488,480,480,480,480
6175488,720,720,720,720
6187584,480,480,480,480
6157584,480,480,480,480
6181536,480,480,480,480
3162552,480,720,6528,6768
480,720,480,720,480
480,480,480,1167744,480
720,480,480,3091008,480
480,480,480,3084960,480
480,720,720,3091008,720
480,480,480,3085200,480
480,480,480,3091008,480
720,480,480,3084960,480
480,480,720,3091008,480
480,720,480,3091248,720
835104,480,480,3091008,480
950016,480,480,3072864,480
1682064,480,480,3091008,480
1790688,480,720,3084960,720
1802784,720,480,2938408,480
2613216,480,480,480,480
2740224,480,480,480,480
2782800,480,480,480,480
2740224,480,480,480,480
2697888,720,720,480,720
2746272,480,480,720,480
2734176,480,480,1095168,480
2746512,480,480,3097056,480
2734176,480,720,3078912,480
2770464,720,480,3115440,720
2709984,480,480,3060768,480
2746512,480,480,3091008,480
2740224,480,480,3084960,480
2740224,720,720,3332928,720
2740224,480,480,4040784,480
2740224,480,480,4034496,480
2734416,480,480,4034496,480
2746272,480,720,4034496,480
2734176,720,480,4028688,720
2746272,480,480,4046592,1059160
2740464,480,480,4034496,3084960
2343344,480,6528,4040544,3091008
1899552,480,720,4022400,3085200
1905600,720,480,3959440,3097056
1893504,480,480,943968,3078912
1899792,480,480,950016,3091008
1893504,480,480,943968,3078912
1978176,720,1809072,992352,3224304
1814880,480,1972128,907920,2951904
1899552,480,2056800,950016,3097056
1893744,480,2056800,950016,3078912
1899552,480,2062848,943968,3091008
1905600,720,2063088,956304,3047272
1893504,480,2050752,943968,480
1899792,480,3060768,950016,480
1899552,480,5153376,950016,480
1893504,480,5141520,943968,720
1899960,1128,5153784,950664,888
2685792,480,5147328,950016,480
2849328,480,5159424,950016,480
2836992,480,5123136,950016,480
2843040,720,5153616,950016,720
2849088,480,5141280,944208,480
2849368,480,5147328,950016,480
2849328,480,5141280,114832,480
2843040,480,5153616,480,480
2843040,720,5141280,720,720
2082720,480,3409912,480,6528
1899792,480,3084960,480,480
1899552,480,3091008,480,480
1887456,720,3085200,480,720
1899552,480,3088288,1000,480
1905600,480,6528,480,480
1899792,480,480,480,480
1893504,480,720,480,480
1446640,720,6528,720,720
517888,480,6528,480,480
720,480,480,480,480
480,480,480,480,480
480,480,720,480,720
480,720,480,720,480
480,480,480,480,480
720,480,480,480,575040
480,480,1972128,405696,4125216
480,720,3079152,3079152,7330896
480,480,5020320,3097056,9278112
720,480,6151296,3084960,9259968
480,480,6175488,3078912,9266016
480,760,6175728,3084960,9266256
480,720,6169440,3085200,9253920
480,480,6181536,3097056,9278112
720,480,6169440,3078912,9247872
480,480,6193632,3097056,9290208
6528,720,6181776,3091248,9092592
480,480,6151296,3078912,4101024
480,480,6163392,3078912,4113120
720,480,6453696,3230112,4300608
480,480,5897280,2945856,3925632
480,720,6181776,3091248,4125456
480,480,6169440,3084960,4113120
6768,480,6175488,3091008,3507720
480,480,6163392,3078912,480
480,6528,6181776,1650464,720
480,720,6169440,720,480
480,6528,5228200,480,480
720,480,3084960,480,480
480,480,3084960,480,480
480,720,3091248,720,720
480,480,3084960,480,480
720,480,3091008,480,480
480,480,3084960,480,480
480,480,3091248,480,720
6528,720,106344,720,480
480,480,480,480,480
720,480,480,480,889536
908,908,908,908,950444
908,1148,1148,908,944636
908,908,908,1148,950444
480,480,480,480,950016
1148,908,908,908,950444
480,480,720,480,950016
480,720,480,720,950256
480,480,480,480,943968
1148,908,908,908,2861612
480,480,480,480,3006336
480,720,720,480,3006576
480,480,480,720,3012384
480,480,480,480,3000288
720,480,480,480,3006336
480,480,720,480,3006336
480,720,480,720,3012624
908,908,908,908,3006764
1905840,480,480,480,3000288
2062848,480,480,480,1097456
2056800,720,720,480,950256
2056800,480,480,720,950016
2056800,480,480,480,950016
2063088,480,480,480,943968
2056800,480,720,480,950016
2056800,720,480,720,950256
2062848,480,480,480,950016
2056800,480,480,768576,950016
2057040,480,480,847200,943968
2062848,480,720,841152,950256
2056800,720,480,841392,950016
2056800,480,480,847200,950016
2063088,480,480,841152,950016
2057228,908,908,847628,950444
3314784,720,720,841152,944208
5153376,480,480,847440,950016
5141280,480,480,841152,950016
5147568,480,480,841152,950016
3228472,480,6768,847200,943968
3084960,720,480,841392,950256
3084960,480,480,841152,950016
3091248,480,480,847200,950016
3084960,480,480,841152,950016
2860624,720,720,853248,2267080
480,480,480,841392,2056800
480,480,480,841152,2056800
6768,480,480,521296,2062848
480,480,720,480,2056800
480,720,480,889776,2159856
480,480,480,901632,1960032
480,480,480,950016,2056800
720,480,480,950016,2062848
480,480,786960,950016,2056800
480,720,2062848,950256,2057040
480,480,2056800,943968,2056800
720,480,2056800,950016,2062848
480,480,2062848,950016,2056800
2722080,480,2057040,950016,2063088
3091008,720,2056800,950256,2056800
3084960,480,2056800,943968,2056800
3085200,480,2056800,950016,2056800
3091008,480,2062848,950016,2062848
3084960,720,2057040,950256,2057040
3091008,480,2062848,950016,2056800
3085200,480,2056800,950016,2062848
3091436,908,2057228,944396,2057228
3084960,480,2057040,950016,2057040
3091008,720,2062848,950256,201792
3091008,480,2056800,950016,480
3085200,480,2056800,943968,480
1383832,480,2056800,956064,480
480,720,2063088,950016,720
480,480,2056800,950256,480
480,480,2056800,950016,480
720,480,2056800,943968,480
480,480,2063088,950016,480
480,720,2056800,950256,720
480,480,2056800,950016,480
12816,480,1255744,459568,480
480,480,480,480,480
480,480,720,480,720
1554816,720,480,720,480
3084960,480,480,480,480
4633488,480,480,480,480
6187584,480,480,480,480
12822240,720,720,720,720
14376576,480,480,480,480
16439184,480,480,480,480
13687104,4832832,480,480,480
13372608,5141280,720,480,720
13372608,5153616,480,720,480
13384704,5147328,480,480,480
13378896,5141280,480,480,480
13354464,5141280,480,480,480
13396800,5147568,720,480,720
13354464,5141280,480,720,480
13402848,5153376,480,480,480
11796048,5141280,6528,480,480
10282080,5141280,480,480,480
10282080,2062488,720,6768,720
10300224,480,480,480,480
10282860,1020,1020,1020,1020
7711100,1020,7068,1020,1020
5174308,1020,1260,1020,7308
3091008,720,480,720,480
3084960,480,480,480,480
3091248,480,480,480,480
3084960,480,480,480,480
3084960,720,720,480,720
3091008,480,480,720,480
3084960,480,480,480,480
3091248,480,480,480,480
517328,480,720,480,6528
480,720,480,720,720
480,480,480,1675776,480
720,480,480,2056800,480
480,480,480,2062848,480
696000,480,720,2080992,720
841152,720,480,2050992,480
841152,480,480,2050752,480
841392,480,480,2056800,480
841152,480,480,2050752,480
847200,480,720,2056800,720
1675776,720,480,2057040,480
1875360,480,480,2062848,480
1869552,480,480,2056800,480
1869312,480,480,2056800,480
1869312,720,720,2057040,720
1875360,480,480,2062848,480
1869980,908,908,2057228,908
2171712,480,480,376664,480
2818848,480,720,480,720
2818848,720,480,720,480
2824896,480,480,480,480
2813040,480,480,480,480
4463904,480,480,480,480
4875168,720,720,480,720
4881216,480,480,720,480
4881216,480,480,480,480
4869360,480,480,480,1609248
4887264,480,720,480,2062848
4875168,720,480,720,2057040
4881216,480,480,480,2062848
4881456,480,480,480,2056800
4881216,480,480,480,2056800
4869120,480,720,284736,2057040
4881216,720,480,1028880,2062848
4875168,480,480,1028640,2056800
4893552,480,480,1034688,2056800
3211408,480,480,1022592,450320
2824896,720,720,1034928,720
2824896,480,480,1028640,480
2819088,480,480,1028640,480
2812800,480,647616,1028640,480
2824896,480,847440,1028640,720
2818848,720,841152,1028880,480
2939808,480,877440,1077024,480
2710224,480,810912,986304,480
2818848,480,841152,1028640,480
2824896,720,847440,1028640,720
2812800,480,841152,1028880,480
2818848,480,841152,1028640,480
2831184,480,847200,1566912,480
2818848,480,841392,3084960,480
2824896,720,847200,3085200,720
2812800,480,841152,3084960,480
2819088,480,841152,3091008,480
2824896,480,847200,3084960,480
2818848,480,841152,3084960,480
2812800,720,841392,3084960,720
2836992,480,847200,2565760,236352
1985952,480,841152,1028640,956064
1796976,480,841152,1028640,950016
1790688,480,1349424,1028640,950016
924184,720,2903520,1028880,950256
643296,480,2903520,1028640,943968
720,480,2909568,1028640,950016
480,480,2897472,1034688,950016
480,480,2903760,1028640,950256
480,720,2897472,1028880,943968
480,480,2903520,1028640,950016
720,480,2903520,1028640,950016
480,480,2897472,1028640,950016
480,720,2903760,1028640,950256
480,480,2903520,1034928,950016
480,480,2897472,1028640,943968
720,480,2909568,1028640,950016
12576,480,1886576,1028640,950016
6528,720,480,1028880,104224
480,480,480,1028640,480
720,480,480,1028640,480
480,480,480,1028640,480
480,720,720,1034688,720
480,480,480,1028880,480
480,480,480,1028640,480
720,480,480,1028640,480
480,480,720,1028640,480
6528,720,480,729808,720
480,480,480,480,480
720,480,480,2238240,480
480,480,480,3091008,480
480,480,2220336,3078912,720
480,720,3091008,3097296,480
480,480,3084960,3078912,480
720,480,3091008,6042432,480
480,480,3084960,7197600,480
480,720,3091248,7215984,653904
480,480,3084960,7197600,3084960
480,480,4155456,7209696,3091008
720,480,8286240,7252032,3109152
480,480,8123184,7161312,3067056
480,720,8237856,7209936,3091008
480,480,8219712,7197600,3084960
720,480,8231808,7203648,3084960
480,480,8225760,7191552,3084960
6528,720,8226000,4955520,3091248
480,480,8225760,4113360,3084960
480,480,8243904,4119168,3091008
720,480,8219712,4107072,3084960
480,6528,8043440,4119168,3084960
6528,720,5141280,1146040,3085200
480,480,5147328,480,3091008
720,480,5147328,480,3084960
480,6528,1015944,480,3091008
480,480,720,480,3079152
480,720,480,720,3091008
