,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,5_port4,5_port1,5_port5,5_port2,5_port3,6_port1,6_port2,1->3,2->4,1->4,2->3,4->1,4->2,3->2,3->1
50,0.0,0.0,13233024.0,0.0,0.0,0.0,0.0,13220928.0,0.0,0.0,0.0,4415040.0,0.0,8830080.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0
51,560.0,0.0,13233024.0,0.0,0.0,0.0,0.0,13245120.0,0.0,0.0,0.0,4415040.0,0.0,8830080.0,0.0,0.0,0.0,0.0,6156864.0,0.0,0.0,4670432.0,0.0,0.0,12096.0,0.0
52,0.0,0.0,13245120.0,0.0,0.0,0.0,0.0,13245120.0,0.0,0.0,0.0,4415040.0,0.0,8842176.0,0.0,0.0,0.0,0.0,2483136.0,0.0,0.0,0.0,0.0,0.0,0.0,12096.0
53,1000.0,1000.0,16197544.0,1000.0,1000.0,1000.0,1560.0,16186008.0,1000.0,1000.0,1000.0,7331176.0,1000.0,8831080.0,1560.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,5467392.0,11174544.0,12096.0,0.0,5443200.0,12096.0,11210832.0,0.0,0.0,5406912.0,9725184.0,12096.0,6904656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,5527872.0,8854272.0,0.0,0.0,5527872.0,0.0,8842176.0,0.0,0.0,5540528.0,8842176.0,560.0,5539968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,5769792.0,9241344.0,0.0,0.0,5769792.0,0.0,9241344.0,0.0,0.0,5757696.0,9241344.0,0.0,5757696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,5539968.0,8878464.0,560.0,0.0,5539968.0,0.0,8878464.0,560.0,0.0,5552064.0,8866368.0,0.0,5552064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,5527872.0,8830640.0,0.0,0.0,5527872.0,0.0,8854272.0,0.0,560.0,5527872.0,8854272.0,0.0,5527872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,12096.0,4805568.0,8842176.0,0.0,12096.0,4829760.0,0.0,8842176.0,0.0,12096.0,4853952.0,8842176.0,0.0,4878144.0,12096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,12096.0,0.0,7198496.0,0.0,0.0,0.0,12096.0,7210592.0,0.0,0.0,0.0,7234784.0,12096.0,0.0,0.0,0.0,0.0,0.0,302400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,2374272.0,12096.0,0.0,0.0,12096.0,2386368.0,0.0,0.0,0.0,2410560.0,12096.0,0.0,0.0,0.0,0.0,0.0,4124736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,350784.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,5140800.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,5152896.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,5140800.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6168960.0,7729344.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,5140800.0,1729728.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,447552.0,0.0,0.0,0.0,0.0,423360.0,0.0,0.0,0.0,411264.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,5152896.0,3096576.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,4402944.0,0.0,0.0,0.0,0.0,4415040.0,0.0,0.0,0.0,4402944.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,5140800.0,3084480.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,4415040.0,0.0,0.0,0.0,0.0,4402944.0,0.0,0.0,0.0,4402944.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,5152896.0,3084480.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,6229440.0,0.0,0.0,0.0,0.0,6205248.0,0.0,0.0,0.0,4511808.0,0.0,1681344.0,0.0,0.0,0.0,0.0,4124736.0,5128704.0,3096576.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,9991296.0,0.0,0.0,0.0,0.0,9991296.0,0.0,0.0,0.0,4439232.0,0.0,5552064.0,0.0,0.0,0.0,0.0,6181056.0,7729344.0,4632768.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,9967104.0,0.0,0.0,0.0,0.0,9979200.0,0.0,0.0,0.0,4427136.0,0.0,5527872.0,0.0,0.0,0.0,0.0,4112640.0,5140800.0,3084480.0,229824.0,0.0,0.0,0.0,0.0
75,0.0,0.0,10003392.0,0.0,0.0,0.0,0.0,9991296.0,0.0,0.0,0.0,4439232.0,0.0,5564160.0,0.0,0.0,0.0,0.0,4112640.0,5152896.0,2888784.0,4112640.0,12096.0,0.0,0.0,0.0
76,0.0,0.0,9967104.0,0.0,0.0,0.0,0.0,9967104.0,0.0,0.0,0.0,4439232.0,0.0,5539968.0,0.0,0.0,0.0,0.0,5866560.0,1838592.0,0.0,5854464.0,0.0,0.0,0.0,0.0
77,0.0,0.0,12241152.0,0.0,0.0,0.0,0.0,12241152.0,0.0,0.0,0.0,4451328.0,0.0,7765632.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,4124736.0,0.0,0.0,0.0,0.0
78,0.0,0.0,13305600.0,0.0,0.0,0.0,0.0,13293504.0,0.0,0.0,0.0,4427136.0,0.0,8854272.0,0.0,0.0,0.0,0.0,4124736.0,0.0,0.0,4100544.0,0.0,0.0,0.0,0.0
79,0.0,0.0,13898304.0,0.0,0.0,0.0,0.0,13898304.0,0.0,0.0,0.0,4644864.0,0.0,9277632.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0
80,0.0,0.0,13305600.0,0.0,0.0,0.0,0.0,13293504.0,0.0,0.0,0.0,4427136.0,0.0,8854272.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0
81,0.0,0.0,13293504.0,0.0,0.0,0.0,0.0,13305600.0,0.0,0.0,0.0,4439232.0,0.0,8866368.0,0.0,0.0,0.0,0.0,4124736.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0
82,0.0,0.0,13305600.0,0.0,0.0,0.0,0.0,13305600.0,0.0,0.0,0.0,4427136.0,0.0,8866368.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,2166560.0,0.0,0.0,12096.0,0.0
83,0.0,0.0,14212800.0,0.0,0.0,0.0,0.0,14212800.0,0.0,0.0,0.0,5322240.0,0.0,8878464.0,0.0,0.0,0.0,0.0,1999296.0,0.0,0.0,0.0,0.0,0.0,0.0,12096.0
84,0.0,0.0,17101584.0,12096.0,0.0,0.0,12096.0,17089488.0,0.0,0.0,0.0,9047808.0,12096.0,8041680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,5612544.0,10184832.0,0.0,0.0,5588352.0,0.0,10209024.0,0.0,0.0,5564160.0,9737280.0,0.0,6048000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,5539968.0,8842176.0,0.0,0.0,5527872.0,0.0,8842176.0,0.0,0.0,5527872.0,8854272.0,0.0,5539968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,5539968.0,8878464.0,0.0,0.0,5552064.0,0.0,8878464.0,0.0,0.0,5552064.0,8866368.0,0.0,5552064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,5515776.0,8854272.0,0.0,0.0,5515776.0,0.0,8854272.0,0.0,0.0,5515776.0,8842176.0,0.0,5515776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,5539968.0,8854272.0,0.0,0.0,5539968.0,0.0,8854272.0,0.0,0.0,5539968.0,8866368.0,0.0,5539968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,12096.0,1914624.0,8866368.0,0.0,12096.0,1938816.0,0.0,8878464.0,0.0,12096.0,1963008.0,8866368.0,0.0,1987200.0,12096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,12096.0,0.0,4876064.0,0.0,0.0,0.0,12096.0,4888160.0,0.0,0.0,0.0,4924448.0,12096.0,0.0,0.0,0.0,0.0,0.0,2274048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,27648.0,12096.0,0.0,0.0,12096.0,51840.0,0.0,0.0,0.0,63936.0,12096.0,0.0,0.0,0.0,0.0,0.0,4112640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,2806272.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,5152896.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6168960.0,7717248.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,5152896.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112640.0,5140800.0,120960.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4124736.0,5152896.0,3096576.0,0.0,0.0,0.0,0.0,0.0
