,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,5_port4,5_port1,5_port2,5_port5,5_port3,6_port1,6_port2,Host_1,Host_2,Host_4,Host_3
650,480.0,960.0,480.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,0.0,0.0,0.0,4124736.0
651,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,6181056.0
652,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,480.0,960.0,960.0,480.0,480.0,480.0,0.0,0.0,0.0,4124736.0
653,480.0,480.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,0.0,0.0,0.0,4112640.0
654,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,0.0,0.0,0.0,4124736.0
655,960.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,0.0,0.0,0.0,11999232.0
656,480.0,480.0,480.0,1500384.0,480.0,480.0,1512960.0,960.0,960.0,960.0,480.0,480.0,1536672.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,7209216.0
657,480.0,480.0,480.0,4742112.0,960.0,480.0,4742112.0,480.0,480.0,480.0,480.0,960.0,4742112.0,960.0,960.0,480.0,960.0,480.0,0.0,0.0,0.0,7197120.0
658,480.0,480.0,960.0,4621152.0,480.0,480.0,4633248.0,480.0,480.0,480.0,480.0,480.0,4633728.0,480.0,480.0,960.0,480.0,480.0,12096.0,0.0,0.0,7209216.0
659,5467872.0,480.0,480.0,4645824.0,480.0,960.0,10149024.0,480.0,480.0,480.0,960.0,480.0,10173216.0,480.0,480.0,480.0,480.0,960.0,0.0,12096.0,0.0,5935856.0
660,8129472.0,960.0,480.0,4645344.0,480.0,480.0,12749664.0,960.0,960.0,480.0,480.0,480.0,12761760.0,480.0,480.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
661,8128992.0,480.0,480.0,4645344.0,480.0,480.0,12786432.0,480.0,480.0,960.0,480.0,480.0,12773856.0,960.0,960.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
662,8153184.0,480.0,960.0,4657440.0,960.0,480.0,12822240.0,480.0,480.0,480.0,480.0,960.0,12822240.0,480.0,480.0,480.0,960.0,480.0,0.0,0.0,0.0,0.0
663,8165280.0,480.0,480.0,5782368.0,480.0,960.0,13947168.0,480.0,480.0,480.0,960.0,480.0,13983936.0,480.0,480.0,960.0,480.0,480.0,0.0,0.0,0.0,0.0
664,8141568.0,960.0,480.0,9314880.0,480.0,480.0,17467104.0,480.0,480.0,480.0,480.0,480.0,17467104.0,480.0,480.0,480.0,480.0,960.0,0.0,0.0,0.0,0.0
665,8661216.0,480.0,480.0,9931296.0,7596768.0,480.0,10996224.0,960.0,960.0,7621440.0,480.0,480.0,10959456.0,7669824.0,960.0,480.0,480.0,480.0,3036096.0,0.0,0.0,0.0
666,8274144.0,480.0,960.0,9459552.0,8286720.0,480.0,9471648.0,480.0,480.0,8298336.0,480.0,960.0,9471648.0,8286240.0,480.0,480.0,960.0,480.0,3084480.0,0.0,0.0,0.0
667,8165280.0,480.0,480.0,9338592.0,8153184.0,960.0,9338592.0,480.0,480.0,8153184.0,960.0,480.0,9339072.0,8165280.0,480.0,960.0,480.0,480.0,7064064.0,0.0,0.0,0.0
668,8492352.0,960.0,12576.0,9337952.0,8491872.0,480.0,9301184.0,12576.0,480.0,8491872.0,480.0,12576.0,9276992.0,8479776.0,480.0,480.0,480.0,960.0,7221312.0,0.0,0.0,0.0
669,2525264.0,12576.0,480.0,4669536.0,2488976.0,12576.0,4682112.0,960.0,960.0,2453168.0,12576.0,12576.0,4681632.0,2416400.0,480.0,480.0,480.0,480.0,10801728.0,0.0,0.0,0.0
670,480.0,480.0,12576.0,3255680.0,480.0,480.0,3231488.0,12576.0,480.0,480.0,480.0,960.0,3207296.0,960.0,13056.0,480.0,960.0,480.0,7209216.0,1451520.0,0.0,0.0
671,480.0,480.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,7197120.0,3084480.0,0.0,0.0
672,480.0,480.0,480.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,11769408.0,5056128.0,0.0,0.0
673,960.0,960.0,480.0,480.0,480.0,480.0,480.0,960.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,7221312.0,3374784.0,0.0,0.0
674,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,480.0,960.0,960.0,480.0,480.0,480.0,7209216.0,6168960.0,0.0,0.0
675,480.0,480.0,3145920.0,480.0,960.0,480.0,480.0,3133344.0,480.0,480.0,480.0,3109632.0,480.0,480.0,480.0,480.0,960.0,480.0,7197120.0,6181056.0,0.0,0.0
676,480.0,480.0,4064736.0,480.0,480.0,960.0,480.0,4040544.0,480.0,480.0,960.0,4016352.0,960.0,480.0,480.0,960.0,480.0,480.0,9669280.0,6402320.0,0.0,12096.0
677,960.0,960.0,8116896.0,960.0,480.0,480.0,480.0,8116896.0,480.0,480.0,480.0,8128992.0,480.0,480.0,480.0,480.0,480.0,960.0,4112640.0,3084480.0,0.0,0.0
678,480.0,480.0,8116896.0,480.0,480.0,480.0,960.0,8117376.0,960.0,960.0,480.0,8128992.0,480.0,480.0,480.0,480.0,480.0,480.0,4124736.0,3096576.0,0.0,0.0
679,480.0,480.0,9108768.0,480.0,480.0,480.0,480.0,9120864.0,480.0,480.0,480.0,9097152.0,480.0,960.0,960.0,480.0,960.0,480.0,4112640.0,3084480.0,0.0,0.0
680,480.0,480.0,10657536.0,480.0,960.0,480.0,480.0,10620768.0,480.0,480.0,960.0,10608672.0,960.0,480.0,480.0,960.0,480.0,480.0,5929456.0,182816.0,0.0,12096.0
681,480.0,480.0,15386592.0,960.0,480.0,960.0,480.0,15386592.0,480.0,480.0,480.0,11648928.0,480.0,480.0,3726048.0,480.0,480.0,960.0,0.0,0.0,0.0,0.0
682,960.0,7681920.0,9749856.0,480.0,480.0,7657248.0,960.0,9774528.0,960.0,960.0,7620960.0,12410976.0,480.0,480.0,4984032.0,480.0,480.0,480.0,0.0,0.0,0.0,0.0
683,480.0,8165280.0,8951520.0,480.0,480.0,8153184.0,480.0,8927328.0,480.0,480.0,8165280.0,12411456.0,480.0,960.0,4657920.0,480.0,960.0,480.0,0.0,0.0,0.0,0.0
684,480.0,8225760.0,11734080.0,480.0,960.0,8225760.0,480.0,11733600.0,480.0,480.0,8213664.0,15265632.0,960.0,480.0,4705824.0,960.0,480.0,480.0,1850688.0,0.0,0.0,0.0
685,480.0,8226240.0,11757792.0,960.0,480.0,8226240.0,480.0,11769888.0,480.0,480.0,8238336.0,15277728.0,480.0,480.0,4693728.0,480.0,480.0,960.0,4124736.0,0.0,0.0,0.0
686,13056.0,6803008.0,8592176.0,12576.0,12576.0,6815104.0,12576.0,8592656.0,960.0,12576.0,6815104.0,10798224.0,12576.0,12576.0,4669536.0,480.0,480.0,480.0,6168960.0,0.0,0.0,0.0
687,480.0,4669536.0,8165280.0,480.0,480.0,4669536.0,960.0,8177376.0,480.0,960.0,4681632.0,8177856.0,480.0,960.0,4682112.0,480.0,480.0,480.0,4112640.0,0.0,0.0,0.0
688,480.0,4657440.0,4308512.0,480.0,960.0,4657440.0,480.0,4332224.0,480.0,480.0,4657440.0,8153184.0,480.0,480.0,848576.0,480.0,960.0,480.0,4124736.0,0.0,0.0,0.0
689,12576.0,4645344.0,2275904.0,480.0,480.0,4657920.0,12576.0,2288000.0,480.0,480.0,4645824.0,6884480.0,13056.0,480.0,60960.0,960.0,480.0,480.0,4112640.0,0.0,0.0,0.0
690,960.0,3995056.0,12576.0,13056.0,12576.0,4006672.0,480.0,12576.0,960.0,12576.0,4030864.0,4055056.0,480.0,12576.0,12576.0,480.0,480.0,960.0,6181056.0,0.0,0.0,0.0
691,480.0,480.0,480.0,480.0,480.0,480.0,960.0,960.0,480.0,960.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,4112640.0,0.0,0.0,0.0
692,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,960.0,480.0,480.0,960.0,480.0,4124736.0,0.0,0.0,0.0
693,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,960.0,480.0,480.0,960.0,480.0,480.0,6181056.0,0.0,0.0,0.0
694,960.0,960.0,3109152.0,960.0,480.0,960.0,480.0,3084960.0,480.0,480.0,480.0,3060768.0,480.0,480.0,480.0,480.0,480.0,960.0,4112640.0,0.0,0.0,0.0
695,480.0,480.0,4633248.0,480.0,480.0,480.0,960.0,4633728.0,960.0,480.0,480.0,4645344.0,480.0,480.0,480.0,480.0,480.0,480.0,4124736.0,0.0,0.0,0.0
696,480.0,480.0,4730016.0,480.0,480.0,480.0,480.0,4705824.0,480.0,960.0,480.0,4670016.0,480.0,960.0,960.0,480.0,960.0,480.0,4112640.0,0.0,0.0,0.0
697,480.0,480.0,10524480.0,480.0,960.0,480.0,480.0,10536096.0,480.0,480.0,480.0,4681632.0,960.0,480.0,5854944.0,480.0,480.0,480.0,6181056.0,1669248.0,0.0,0.0
698,480.0,480.0,10487712.0,960.0,480.0,960.0,480.0,10475616.0,480.0,480.0,960.0,4669536.0,480.0,480.0,5818656.0,960.0,480.0,960.0,5152896.0,6447168.0,0.0,0.0
699,960.0,960.0,10487712.0,480.0,480.0,480.0,480.0,10488192.0,960.0,480.0,480.0,4657440.0,480.0,480.0,5830752.0,480.0,480.0,480.0,4124736.0,5140800.0,0.0,0.0
