00:00:00:00:00:03,00:00:00:00:00:06,00:00:00:00:00:01,00:00:00:00:00:04,00:00:00:00:00:02,00:00:00:00:00:07,00:00:00:00:00:08,00:00:00:00:00:05
858816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737856.0,411264.0,0.0,0.0,0.0,0.0,737856.0,0.0
0.0,0.0,0.0,0.0,1370880.0,0.0,737856.0,0.0
899136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737856.0,0.0,0.0,0.0,0.0,0.0,737856.0,0.0
0.0,0.0,0.0,0.0,1370880.0,0.0,737856.0,0.0
858816.0,0.0,0.0,0.0,0.0,0.0,2399040.0,0.0
0.0,0.0,0.0,0.0,1366848.0,0.0,737856.0,0.0
862848.0,0.0,0.0,0.0,0.0,0.0,862848.0,0.0
737856.0,0.0,0.0,0.0,0.0,0.0,737856.0,0.0
0.0,0.0,254016.0,0.0,898416.0,4032.0,0.0,0.0
