port1,port2,port3,port4,port5
480.0,480.0,950256.0,1978416.0,841392.0
480.0,480.0,950016.0,1984224.0,3097056.0
480.0,480.0,2534592.0,1978176.0,3084960.0
1220.0,1220.0,3000788.0,1966580.0,3079412.0
480.0,480.0,3012384.0,1990272.0,3097056.0
480.0,480.0,3006576.0,1978416.0,3091248.0
480.0,480.0,3006336.0,1972128.0,3084960.0
480.0,480.0,3012384.0,1978176.0,3084960.0
720.0,720.0,2994240.0,1972128.0,3078912.0
480.0,480.0,3012384.0,1990272.0,3097056.0
480.0,260544.0,3012624.0,1978416.0,3091248.0
480.0,962112.0,3006336.0,1100656.0,1187096.0
480.0,950296.0,3006336.0,1028640.0,760.0
720.0,950256.0,3012384.0,1034688.0,480.0
480.0,950016.0,3006336.0,1028640.0,254496.0
480.0,943968.0,2994480.0,1022592.0,943968.0
480.0,950016.0,3018432.0,1034928.0,950256.0
480.0,950016.0,3000288.0,1028640.0,950016.0
720.0,956304.0,1410872.0,1028640.0,950016.0
480.0,943968.0,943968.0,1028640.0,943968.0
480.0,950016.0,950256.0,1028640.0,950256.0
480.0,943968.0,950016.0,1028880.0,950016.0
480.0,956064.0,950016.0,1034688.0,950016.0
720.0,1222416.0,950016.0,1028640.0,950016.0
480.0,1966080.0,943968.0,1022592.0,943968.0
480.0,1990272.0,956304.0,1034688.0,956304.0
480.0,1960032.0,937920.0,1022832.0,937920.0
480.0,1978176.0,950016.0,1034688.0,950016.0
720.0,1984464.0,950016.0,1028640.0,950016.0
480.0,1978176.0,956064.0,1034688.0,956064.0
480.0,1978176.0,944208.0,1028640.0,944208.0
480.0,1972128.0,950016.0,1022832.0,950016.0
480.0,1990272.0,950016.0,1034688.0,950016.0
720.0,1978416.0,950016.0,1530624.0,950016.0
480.0,1978176.0,950016.0,3091008.0,950016.0
480.0,1972128.0,944208.0,3078912.0,944208.0
480.0,1978176.0,950016.0,3085200.0,950016.0
480.0,1984224.0,950016.0,3103104.0,950016.0
720.0,1972368.0,950016.0,2760096.0,950016.0
480.0,1990272.0,950016.0,2068896.0,950016.0
480.0,1978176.0,950256.0,2057040.0,950256.0
480.0,1124848.0,956064.0,2062848.0,950016.0
480.0,1028640.0,943968.0,2056800.0,943968.0
720.0,1022832.0,950016.0,2050752.0,950016.0
480.0,1034688.0,950016.0,2068896.0,950016.0
480.0,1034688.0,950256.0,2056800.0,102976.0
480.0,1028640.0,950016.0,2057040.0,480.0
480.0,1040736.0,734016.0,1542160.0,480.0
720.0,1028880.0,480.0,480.0,480.0
480.0,1034688.0,480.0,480.0,480.0
480.0,1028640.0,1000.0,720.0,720.0
480.0,1022592.0,480.0,480.0,480.0
480.0,1034688.0,480.0,760.0,480.0
1000.0,1028880.0,480.0,480.0,480.0
480.0,1028640.0,480.0,480.0,480.0
480.0,1028640.0,720.0,720.0,720.0
480.0,1028640.0,480.0,480.0,480.0
480.0,1034688.0,480.0,480.0,480.0
720.0,1022832.0,480.0,480.0,480.0
480.0,1034688.0,720.0,480.0,480.0
480.0,1028640.0,480.0,720.0,720.0
480.0,1034688.0,480.0,480.0,480.0
720.0,1022592.0,480.0,480.0,480.0
480.0,1028880.0,480.0,480.0,480.0
480.0,1034688.0,720.0,480.0,720.0
480.0,1028640.0,480.0,720.0,480.0
480.0,1028640.0,480.0,480.0,480.0
1220.0,1029380.0,980.0,980.0,980.0
480.0,1028640.0,480.0,480.0,480.0
480.0,1028640.0,720.0,720.0,720.0
480.0,1034688.0,480.0,480.0,480.0
480.0,1028640.0,480.0,480.0,480.0
720.0,1028640.0,480.0,480.0,480.0
480.0,1028880.0,480.0,480.0,480.0
480.0,1028640.0,720.0,480.0,720.0
