index,1_port1,1_port2,2_port1,2_port2,3_port1,3_port2,3_port3,4_port1,4_port2,4_port3,5_port4,5_port1,5_port2,5_port3,6_port1,6_port4,6_port2,6_port3,7_port1,7_port2,7_port3,8_port1,8_port2,8_port3,9_port4,9_port1,9_port2,9_port3,10_port4,10_port1,10_port2,10_port3,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8
627,320,2391408,9157562.667,320,2387376,160,320,320,7573098.667,3294576,4810496,685872,1705968,3339498.667,1701824,798768,432,2955616,320,2621072,2621120,9153530.667,320,320,2274480,2048576,4303034.667,1137344,1480064,794624,4850816,1250240,742112,2007936,1048320,943600,1790208,5609082.667,0,4753728
628,320,1857733.333,8113610.667,320,1857733.333,320,320,320,6504917.333,3359088,6165930.667,694160,1738112,927792,1155829.333,810752,320,3016368,320,2083525.333,2657856,8113637.333,320,160,1736661.333,2081056,1976224,1157840,1504592,815008,6125610.667,1274954.667,858928,2338784,707957.3333,1108800,2092944,3080784,224,8052698.667
629,320,2177712,1931760,320,2185776,320,320,320,343152,3290432,432,1278576,1701664,903488,907520,794624,320,2951744,320,1201248,3209792,1927728,160,320,1476032,2048576,1927728,523872,2072768,181040,320,1246208,737856,2443392,314496,951552,1794240,2632896,0,329904
630,749.3333333,2609565.333,1932189.333,909.3333333,2601661.333,909.3333333,909.3333333,909.3333333,339821.3333,3299197.333,1133.333333,1706557.333,1702525.333,912141.3333,912141.3333,795325.3333,1021.333333,2952557.333,909.3333333,1137933.333,3637885.333,1932349.333,909.3333333,909.3333333,1476621.333,2045133.333,1928205.333,456525.3333,2496829.333,117837.3333,1021.333333,1250829.333,862848,3443664,367136,1104880,2092720,3076416,0,250096
631,320,2661440,1919552,320,2661440,320,160,320,339008,3262048,432,1750208,1693760,903600,895424,786560,320,2931584,320,1129280,3665248,1915520,320,320,1463936,2032448,1919552,451904,2544512,109184,320,1242176,742000,2955568,314496,947520,1790208,2632896,0,209664
632,320,3302640,1931760,320,3302640,320,320,160,342992,3302528,320,2399472,1709888,907632,915584,798656,320,2955776,160,1145744,4322848,1931760,320,320,1484208,2052832,1935792,456160,3189856,117472,320,1250240,1572592,3439296,370944,1104768,2088800,3076528,0,242144
633,320,3274640,1919888,320,3278858.667,320,320,320,339120,3270496,320,2367216,1693760,903786.6667,903712,790704,320,2935728,320,1129392,4290592,1919888,320,320,1468080,2032448,1919664,451904,3161472,113056,544,1242176,1366960,2947392,318640,951664,1790208,2637040,0,213920
634,320,3274416,1919664,320,3270384,320,320,320,339120,3274304,432,2371248,1693760,903488,899456,790592,320,2935616,320,1193792,4290480,1919664,320,320,1532320,2024384,1919552,451904,3161408,177728,272,1242128,1370880,2959600,314496,951552,1794240,2628864,0,233856
635,320,3322688,1951808,320,3330752,320,320,320,343152,3330864,320,2407424,1718064,919728,923648,802800,432,2988032,320,1371312,4359024,1951808,320,320,1718064,2060624,1943584,460032,3201728,343152,320,1262448,1600816,3439296,370944,1104880,2088800,3072496,112,491904
636,320,3270384,1915632,320,3266352,320,320,320,339232,3274416,384,2367056,1689840,903488,903488,790592,432,2927664,320,1355184,4278272,1915632,320,320,1693760,2032448,1919664,447984,3161408,339008,320,1238144,1370880,2951648,314608,947520,1794352,2644992,0,419328
637,320,3367152,1448725.333,160,3363120,320,320,320,347184,2835621.333,432,2439792,1742144,927520,923648,810752,320,2492901.333,320,1399424,4419504,1448725.333,320,320,1746176,2092928,1448613.333,1238144,3250224,351104,432,1278464,1596672,3447472,370944,1104768,2088576,3278821.333,0,496048
638,320,3274528,1355296,320,3282432,320,320,320,339008,2714080,432,2371136,1693760,903600,903552,790432,320,2371360,320,1355482.667,4290368,1359328,320,320,1693984,2032448,1359328,1355296,3165440,339008,320,1242176,1370992,2943472,318752,951552,1790432,2955680,0,423360
