,port1,1_port2,port1,2_port2,port1,3_port2,3_port3,port1,4_port2,4_port3,port4,5_port1,5_port2,5_port3,port1,6_port4,6_port2,6_port3,port1,7_port2,7_port3,port1,8_port2,8_port3,port1,9_port4,9_port2,9_port3,port1,10_port4,10_port2,10_port3,Host_8,Host_2,Host_5,Host_3,Host_7,Host_4,Host_6,Host_1
26,320.0,320.0,1000256.0,887360.0,320.0,320.0,320.0,887360.0,996224.0,996224.0,996224.0,320.0,996224.0,320.0,320.0,320.0,887360.0,996224.0,320.0,320.0,320.0,996224.0,1883104.0,320.0,160.0,320.0,1000256.0,1887296.0,160.0,320.0,996224.0,5995904.0,0.0,0.0,0.0,0.0,951552.0,842688.0,951552.0,947520.0
27,320.0,320.0,1004288.0,891392.0,160.0,320.0,160.0,895424.0,1008320.0,1004288.0,1004288.0,320.0,1004288.0,320.0,320.0,320.0,891392.0,1008320.0,160.0,320.0,320.0,1004288.0,1895360.0,320.0,320.0,320.0,1004288.0,1899392.0,320.0,125312.0,1004288.0,7723125.333333333,0.0,0.0,951552.0,0.0,947520.0,767605.3333333334,947520.0,947520.0
28,320.0,320.0,1008320.0,2629184.0,320.0,320.0,320.0,2629184.0,1008320.0,1008160.0,1008320.0,320.0,2750144.0,320.0,320.0,320.0,899456.0,1008320.0,320.0,160.0,160.0,1012352.0,1911488.0,1726016.0,320.0,320.0,1008320.0,1903424.0,320.0,1097024.0,1012352.0,1721984.0,0.0,858816.0,1963584.0,0.0,1104768.0,0.0,0.0,1104768.0
29,320.0,320.0,1012352.0,3512192.0,320.0,320.0,320.0,3508160.0,1008320.0,1012352.0,1012352.0,320.0,3625088.0,320.0,320.0,320.0,895424.0,1012352.0,320.0,320.0,320.0,1008320.0,1903424.0,2613056.0,320.0,160.0,1012192.0,1911328.0,320.0,1516352.0,1012352.0,2193728.0,0.0,0.0,0.0,0.0,951552.0,0.0,951552.0,947520.0
30,320.0,320.0,1052672.0,4044416.0,320.0,320.0,320.0,4048448.0,1056704.0,1052672.0,1056544.0,160.0,4161184.0,320.0,320.0,320.0,939776.0,1052672.0,320.0,320.0,320.0,1056704.0,1996160.0,3104960.0,320.0,320.0,1052672.0,1988096.0,320.0,1963904.0,1052672.0,2286464.0,0.0,737856.0,1689408.0,0.0,947520.0,0.0,0.0,947520.0
31,320.0,320.0,1040576.0,3782336.0,320.0,320.0,320.0,3786208.0,988160.0,1040576.0,984128.0,320.0,3891200.0,160.0,320.0,48704.0,875264.0,988160.0,320.0,320.0,320.0,1036384.0,1859072.0,2907392.0,320.0,320.0,1044608.0,1867136.0,320.0,1834880.0,988160.0,2141312.0,0.0,0.0,1685376.0,0.0,947520.0,0.0,0.0,947520.0
32,320.0,320.0,1967936.0,3782336.0,320.0,320.0,320.0,3778304.0,984128.0,1971968.0,988160.0,320.0,3895232.0,320.0,320.0,988160.0,879296.0,984128.0,320.0,320.0,320.0,1976000.0,1863104.0,2907232.0,320.0,320.0,1967936.0,1859072.0,320.0,1834720.0,984128.0,2141152.0,0.0,745920.0,0.0,0.0,963648.0,0.0,959616.0,959616.0
33,320.0,320.0,2105024.0,3626613.3333333335,320.0,320.0,320.0,3626613.3333333335,996224.0,2096960.0,996224.0,320.0,3931520.0,320.0,160.0,1104928.0,687285.3333333334,996224.0,320.0,320.0,320.0,2100992.0,1691253.3333333333,2939648.0,320.0,320.0,2105024.0,1691253.3333333333,320.0,1855040.0,996224.0,2161472.0,0.0,0.0,1967616.0,858816.0,1104768.0,0.0,1104768.0,1104768.0
34,160.0,160.0,2738048.0,2903360.0,320.0,320.0,320.0,2903360.0,984128.0,2738234.6666666665,984128.0,320.0,3883136.0,320.0,320.0,1746176.0,160.0,983968.0,320.0,320.0,320.0,2734016.0,984128.0,2899328.0,320.0,320.0,2734016.0,984128.0,320.0,1834880.0,984314.6666666666,2137280.0,0.0,0.0,1693440.0,741888.0,951552.0,0.0,951552.0,951552.0
35,320.0,320.0,2733856.0,2903200.0,320.0,320.0,320.0,2903360.0,984128.0,2738048.0,984128.0,320.0,3891200.0,320.0,320.0,1750208.0,320.0,984128.0,506.6666666666667,320.0,320.0,2734016.0,2113088.0,2903360.0,320.0,1129280.0,2742080.0,988160.0,320.0,1834880.0,2116960.0,2137466.6666666665,0.0,4032.0,0.0,701568.0,903168.0,0.0,730597.3333333334,903168.0
36,320.0,320.0,2734202.6666666665,3774272.0,320.0,346.6666666666667,506.6666666666667,3774272.0,988186.6666666666,2734016.0,984128.0,320.0,4758080.0,320.0,320.0,1750208.0,320.0,988160.0,320.0,506.6666666666667,320.0,2738048.0,3121088.0,3774272.0,320.0,2133248.0,2729984.0,984128.0,160.0,1835066.6666666667,3125120.0,3004160.0,0.0,0.0,1770048.0,774144.0,995904.0,0.0,0.0,995904.0
37,320.0,320.0,2738048.0,3891200.0,320.0,320.0,320.0,3895232.0,984128.0,2738048.0,988160.0,320.0,4879040.0,320.0,320.0,1754240.0,320.0,984128.0,160.0,320.0,320.0,2738048.0,3128992.0,3891200.0,160.0,2141312.0,2738048.0,984128.0,320.0,1838912.0,3125120.0,3125120.0,4032.0,637514.6666666666,0.0,766080.0,983808.0,0.0,0.0,983808.0
38,320.0,320.0,2738048.0,4375226.666666667,346.6666666666667,320.0,160.0,4371008.0,984128.0,2737888.0,984128.0,320.0,4879040.0,320.0,320.0,1754240.0,484160.0,988346.6666666666,320.0,320.0,506.6666666666667,2734016.0,3121088.0,4367162.666666667,320.0,2137280.0,2742080.0,988346.6666666666,320.0,787018.6666666666,3121088.0,3604928.0,0.0,0.0,0.0,0.0,6608448.0,0.0,0.0,1104768.0
39,605.3333333333334,605.3333333333334,2734301.333333333,4657565.333333333,605.3333333333334,605.3333333333334,605.3333333333334,4657565.333333333,988445.3333333334,2734301.333333333,984600.0,605.3333333333334,4875480.0,605.3333333333334,605.3333333333334,1754525.3333333333,766685.3333333334,984413.3333333334,605.3333333333334,445.3333333333333,445.3333333333333,2746397.333333333,3125405.333333333,4665629.333333333,605.3333333333334,2141624.0,2734301.333333333,984413.3333333334,605.3333333333334,770717.3333333334,3125405.333333333,3891485.3333333335,0.0,0.0,0.0,0.0,11245248.0,0.0,0.0,951552.0
40,320.0,320.0,2875136.0,4661312.0,320.0,320.0,320.0,4665530.666666667,1117184.0,2742080.0,988000.0,320.0,4879040.0,121280.0,320.0,1750208.0,770432.0,988160.0,320.0,320.0,320.0,2871104.0,3129152.0,4657280.0,320.0,2141312.0,2741920.0,988000.0,506.6666666666667,766400.0,3262208.0,3895232.0,0.0,0.0,1632960.0,717696.0,6335882.666666667,0.0,0.0,919296.0
41,320.0,320.0,4573413.333333333,4677440.0,320.0,320.0,320.0,4669376.0,2815461.333333333,2746112.0,674469.3333333334,160.0,4899040.0,2149216.0,506.6666666666667,1758458.6666666667,766400.0,988160.0,320.0,320.0,320.0,4573413.333333333,3137402.6666666665,4677440.0,506.6666666666667,2149376.0,2424357.333333333,988160.0,320.0,766400.0,5282240.0,3903296.0,0.0,0.0,0.0,0.0,0.0,0.0,2193408.0,0.0
42,506.6666666666667,320.0,3907328.0,4681472.0,320.0,320.0,320.0,4685344.0,2149376.0,2754176.0,320.0,506.6666666666667,4903232.0,2149376.0,320.0,1762304.0,774464.0,992192.0,320.0,320.0,320.0,3907168.0,3141248.0,4677280.0,320.0,2149376.0,1762490.6666666667,2673536.0,320.0,774464.0,5290304.0,3911360.0,0.0,0.0,0.0,870912.0,0.0,0.0,0.0,0.0
