,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port4,5_port1,5_port2,5_port3
81,1491656.0,480.0,4754208.0,480.0,480.0,480.0,1491896.0,4754448.0,480.0,720.0,4119168.0,1485608.0,480.0,641568.0
82,738336.0,480.0,4748160.0,480.0,480.0,480.0,738336.0,4742112.0,720.0,480.0,4113120.0,738336.0,720.0,629712.0
83,738336.0,480.0,4742112.0,480.0,480.0,720.0,738336.0,4760256.0,480.0,480.0,4119408.0,738576.0,480.0,635520.0
84,738336.0,720.0,3122176.0,6768.0,480.0,480.0,738336.0,3121936.0,480.0,480.0,2498992.0,744384.0,480.0,629472.0
85,738576.0,480.0,1657632.0,480.0,720.0,480.0,738576.0,1663680.0,480.0,480.0,1028640.0,738336.0,480.0,635520.0
86,738336.0,480.0,1663680.0,480.0,480.0,480.0,744384.0,1663920.0,720.0,720.0,1034688.0,738336.0,480.0,629712.0
87,738336.0,480.0,1663680.0,480.0,480.0,480.0,732288.0,1657632.0,480.0,480.0,1028880.0,738576.0,720.0,635520.0
88,738336.0,480.0,1663680.0,720.0,480.0,720.0,738336.0,1663680.0,480.0,480.0,1028640.0,738336.0,480.0,629472.0
89,738576.0,720.0,1657872.0,480.0,480.0,480.0,738336.0,1657632.0,480.0,480.0,1028640.0,738336.0,480.0,635520.0
90,738336.0,480.0,763216.0,6528.0,720.0,480.0,744624.0,769504.0,480.0,720.0,134224.0,744384.0,480.0,629472.0
91,738336.0,480.0,635520.0,480.0,480.0,480.0,738336.0,629472.0,720.0,480.0,480.0,738336.0,720.0,635760.0
92,738336.0,480.0,629472.0,480.0,480.0,720.0,738336.0,635520.0,480.0,480.0,720.0,738576.0,480.0,635520.0
93,738336.0,720.0,635760.0,720.0,480.0,480.0,738336.0,629472.0,480.0,480.0,480.0,738336.0,480.0,629472.0
94,738576.0,480.0,629472.0,480.0,720.0,480.0,738576.0,635520.0,480.0,480.0,480.0,738336.0,480.0,635520.0
95,738336.0,480.0,635520.0,480.0,480.0,480.0,738336.0,629712.0,720.0,720.0,480.0,732288.0,480.0,629712.0
96,738336.0,480.0,629472.0,480.0,480.0,480.0,738336.0,635520.0,480.0,480.0,720.0,738576.0,720.0,635520.0
97,702736.0,480.0,641568.0,720.0,480.0,720.0,702736.0,635520.0,480.0,480.0,6528.0,702736.0,480.0,629472.0
98,720.0,720.0,635760.0,480.0,480.0,480.0,480.0,641568.0,480.0,480.0,480.0,480.0,480.0,641568.0
99,480.0,480.0,629472.0,480.0,720.0,480.0,720.0,629712.0,480.0,720.0,480.0,480.0,480.0,623424.0
100,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,629472.0,720.0,480.0,480.0,480.0,720.0,635760.0
101,480.0,480.0,635520.0,480.0,480.0,720.0,480.0,635520.0,480.0,480.0,720.0,720.0,480.0,629472.0
102,480.0,480.0,635760.0,720.0,480.0,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,480.0,635520.0
103,720.0,720.0,635520.0,480.0,720.0,480.0,720.0,641568.0,480.0,480.0,480.0,480.0,480.0,641568.0
104,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,623664.0,720.0,720.0,480.0,480.0,480.0,623424.0
105,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0,720.0,720.0,720.0,635760.0
106,480.0,480.0,635520.0,720.0,480.0,720.0,480.0,629472.0,480.0,480.0,480.0,480.0,480.0,629472.0
107,720.0,720.0,629712.0,480.0,480.0,480.0,480.0,635520.0,480.0,480.0,480.0,480.0,480.0,635520.0
108,480.0,480.0,635520.0,480.0,720.0,480.0,720.0,629712.0,480.0,720.0,480.0,480.0,480.0,629472.0
109,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,635520.0,720.0,480.0,480.0,480.0,720.0,635760.0
110,480.0,480.0,635520.0,480.0,480.0,720.0,480.0,635520.0,480.0,480.0,720.0,720.0,480.0,629472.0
111,760.0,480.0,629712.0,720.0,480.0,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,480.0,635520.0
