,1_port1,1_port2,1_port3,1_port4,1_port5,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port1,5_port2,5_port3,5_port4,5_port5
73,480.0,1875360.0,3085200.0,950016.0,1028880.0,480,480,5062656,1869312,480,480,5068704,480,841152,1028880,480
74,720.0,1869552.0,3097056.0,950256.0,1034688.0,480,480,5068704,1881408,480,480,5074752,480,847200,1028640,480
75,480.0,1869312.0,3084960.0,950016.0,1028640.0,720,480,5050800,1869552,480,480,5056608,480,841152,1028640,480
76,480.0,1875360.0,3084960.0,2262432.0,1028640.0,480,720,6381120,1869312,720,720,6381120,480,841152,1028640,480
77,480.0,1869312.0,3084960.0,3006336.0,1143552.0,480,480,7245984,1875360,480,480,7245984,720,847440,1034688,720
78,480.0,2147520.0,3097296.0,3012384.0,1869312.0,480,480,7983840,2129376,480,480,7978032,480,841152,1028880,254496
79,480.0,3925872.0,3084960.0,3000288.0,1875600.0,480,480,7959648,3931680,480,480,7965696,480,847200,1028640,2056800
80,720.0,3937728.0,3091008.0,3006576.0,1875360.0,720,480,7965696,3937728,480,480,7965696,480,841152,1028640,2062848
81,480.0,3925632.0,3084960.0,3006336.0,1869312.0,480,480,7959888,3931920,720,480,7959648,480,841152,1028640,2056800
82,480.0,3925632.0,3084960.0,3012384.0,1875360.0,480,720,7959648,3925632,480,720,7965696,480,841392,1028640,2056800
83,480.0,3943776.0,3091008.0,3006336.0,1869312.0,480,480,7989888,3931680,480,480,7978032,720,847200,1034688,2063088
84,480.0,3805360.0,3605328.0,3006336.0,1869552.0,480,480,8479776,3817456,480,480,8491872,480,739024,1028880,2050752
85,720.0,3091248.0,3624440.0,3006576.0,1875360.0,720,480,8493080,3091008,480,480,8487032,480,480,1028640,2068896
86,480.0,3097056.0,1881408.0,3012384.0,1875360.0,480,480,6768432,3097296,720,480,6768192,480,480,1028640,2062848
87,480.0,3084960.0,1869312.0,3006336.0,1869312.0,480,720,6737952,3078912,480,720,6731904,480,480,1028640,2050752
88,480.0,3091008.0,1875360.0,3012384.0,1875360.0,480,480,6768192,3097056,480,480,6774480,720,720,1028640,2063088
89,480.0,3084960.0,1869552.0,3000288.0,1869312.0,480,480,6744000,3084960,480,480,6744000,480,480,1028880,2056800
90,720.0,3085200.0,1869312.0,3006576.0,1875600.0,480,480,6737952,3084960,480,480,6737952,480,480,1028640,2056800
91,480.0,3097056.0,1881408.0,3012384.0,1869312.0,720,480,6768432,3091248,480,480,6762144,480,480,1034688,2062848
92,480.0,2806192.0,1875360.0,1689080.0,1875360.0,480,480,5426744,2812240,720,720,5426744,480,480,1034688,1784080
93,480.0,443712.0,1875360.0,950016.0,1875360.0,480,720,4699776,443712,480,480,4699776,480,121680,322752,720
94,480.0,1028640.0,1869552.0,943968.0,1875360.0,480,480,4693728,1028640,480,480,4693968,720,1028640,720,480
95,720.0,1028880.0,1875360.0,956064.0,1875600.0,480,480,4699776,1034688,480,480,4699776,480,1028640,480,480
96,480.0,1028640.0,1869312.0,944208.0,1869312.0,720,480,4681632,1028880,480,480,4687680,480,1028640,480,480
97,480.0,1028640.0,1869312.0,950016.0,1869312.0,480,720,4693968,1028640,720,720,4693728,480,1028640,480,480
98,480.0,1028640.0,1869312.0,950016.0,1875360.0,480,480,4693728,1028640,480,480,4681632,720,1028880,480,720
99,480.0,1040736.0,1695888.0,950016.0,1869312.0,480,480,4514016,1034688,480,480,4514256,480,1040736,720,480
100,720.0,1028880.0,841152.0,943968.0,1881648.0,480,480,3665568,1028640,480,480,3671616,480,1028640,480,480
101,480.0,1034688.0,841152.0,694600.0,1863264.0,720,480,3397816,1034928,480,480,3391768,480,1028640,6528,480
102,480.0,1040736.0,847200.0,480.0,562512.0,480,720,1403424,1046784,720,720,1397136,480,1040736,480,480
103,480.0,1028640.0,841152.0,480.0,480.0,480,480,841152,1022592,480,760,841152,480,1028880,480,720
104,480.0,1028640.0,847440.0,480.0,480.0,480,480,841152,1034688,480,480,841392,720,1028640,720,480
105,480.0,1028880.0,841152.0,480.0,720.0,480,480,841152,1028640,480,480,847200,760,1028640,480,480
106,720.0,1028640.0,847200.0,720.0,480.0,720,480,847200,1028640,480,480,841152,480,1034688,480,480
107,480.0,1028640.0,841152.0,480.0,480.0,480,480,841392,1028880,720,480,847200,480,1028640,480,480
108,480.0,1028640.0,841152.0,480.0,480.0,480,720,841152,1028640,480,720,841152,480,1028880,480,720
109,480.0,1034688.0,841152.0,480.0,480.0,480,480,847200,1028640,480,480,841392,720,1028640,720,480
110,480.0,1028880.0,847720.0,480.0,720.0,480,480,847200,1034688,480,480,847200,480,1034688,480,480
111,720.0,1028640.0,841152.0,720.0,480.0,1000,480,841152,1022872,480,480,841152,480,1022592,480,480
112,480.0,1028920.0,847200.0,480.0,480.0,480,480,841392,1034928,720,720,847200,480,1034688,480,480
113,480.0,1028640.0,841152.0,480.0,480.0,480,720,841152,1028640,480,480,841152,480,1022832,480,1000
114,480.0,1028640.0,841392.0,480.0,480.0,480,480,847200,1028640,480,480,841392,720,1034688,720,480
115,480.0,1028880.0,847200.0,480.0,720.0,480,480,841152,1028640,480,480,841152,480,1028640,480,480
116,1000.0,1034688.0,841152.0,720.0,480.0,720,480,847200,1028880,480,480,847200,480,1028640,480,480
117,480.0,1028640.0,847200.0,760.0,480.0,480,480,841392,1028640,720,720,841152,480,1028640,480,480
118,480.0,1028640.0,841152.0,480.0,480.0,480,720,841152,1034688,480,480,847200,720,1028880,480,720
119,480.0,1028640.0,841392.0,480.0,480.0,480,480,847200,1028640,480,480,841672,480,1028640,720,480
120,720.0,1028880.0,847700.0,1220.0,1220.0,980,980,841652,1028640,980,480,841152,980,1029140,980,980
121,980.0,1029140.0,841152.0,480.0,480.0,720,480,841392,1029380,480,980,847700,480,1028640,480,480
122,480.0,1028640.0,841152.0,480.0,480.0,480,720,847200,1028640,720,720,841152,480,1034688,480,480
123,480.0,1089120.0,364568.0,480.0,480.0,480,480,358520,1089120,480,480,358520,720,1083312,480,720
124,480.0,980256.0,480.0,480.0,480.0,480,480,480,974208,480,480,720,480,980256,480,480
125,480.0,1034928.0,720.0,480.0,720.0,480,480,480,1034688,480,480,480,480,1034688,720,480
126,720.0,1022592.0,480.0,720.0,480.0,720,480,480,1022592,480,480,480,480,1022592,480,480
127,480.0,1028640.0,480.0,480.0,480.0,480,480,720,1034928,720,720,480,480,1028640,480,480
128,480.0,1028640.0,480.0,480.0,480.0,480,720,480,1028640,480,480,480,480,1028880,480,720
129,480.0,1028640.0,720.0,480.0,480.0,480,480,480,1028640,480,480,720,720,1034688,720,480
130,720.0,1034928.0,480.0,480.0,720.0,480,480,480,1028640,480,480,480,480,1028640,480,480
131,480.0,1028640.0,480.0,720.0,480.0,720,480,720,1028880,480,480,480,480,1028640,480,480
132,480.0,1028640.0,480.0,480.0,760.0,480,760,760,1028640,720,720,480,480,1028640,480,480
133,480.0,893944.0,480.0,6528.0,480.0,480,720,6528,899992,480,480,6528,720,900232,480,720
134,480.0,480.0,720.0,480.0,720.0,480,480,480,480,480,480,720,480,480,720,480
135,720.0,720.0,480.0,272880.0,480.0,480,480,278688,480,480,480,284736,480,480,480,480
136,480.0,480.0,480.0,3084960.0,480.0,720,480,3084960,720,480,480,3084960,480,480,480,480
137,480.0,480.0,480.0,3084960.0,480.0,480,480,3085200,480,720,720,3091008,480,480,480,480
138,480.0,480.0,1790688.0,3091008.0,480.0,480,720,4893312,480,480,480,4893312,480,720,480,720
139,480.0,480.0,3091008.0,3084960.0,480.0,480,480,6175488,480,480,480,6181776,720,480,720,480
140,480.0,720.0,3091248.0,3091008.0,236592.0,480,480,6417408,480,480,480,6417408,480,480,480,480
141,720.0,480.0,3103104.0,3423888.0,3103104.0,720,480,9640992,480,760,480,9671232,480,760,760,480
142,480.0,480.0,3066816.0,7167360.0,3066816.0,480,480,13306320,720,720,480,13287936,480,480,480,480
143,480.0,480.0,3091008.0,7209696.0,6018240.0,480,720,16330080,480,480,720,16342176,480,720,480,480
144,480.0,480.0,3091008.0,7203648.0,8183424.0,7566528,480,10917120,480,7584672,480,10905264,7603056,480,480,720
145,480.0,720.0,3091248.0,7221792.0,8244144.0,8249952,480,10318368,480,8256000,480,10312320,8256000,480,720,480
146,720.0,480.0,3078912.0,7179696.0,8213664.0,8207616,480,10263936,480,8207616,480,10263936,8207616,480,480,480
147,480.0,480.0,3103104.0,7233888.0,8274144.0,8274384,480,10336752,720,8274144,480,10336512,8274144,480,480,480
148,480.0,480.0,3078912.0,7191552.0,8207616.0,8207616,720,10269984,480,8207856,720,10263936,8207616,480,480,480
149,480.0,480.0,3091008.0,7203648.0,8237856.0,8237856,480,10294176,480,8237856,480,10300464,8244144,720,480,720
150,480.0,480.0,3091248.0,7209696.0,8232048.0,8243904,480,10294176,480,8237856,480,10300224,8231808,480,720,480
151,720.0,720.0,3084960.0,7197600.0,8225760.0,8219712,480,10282080,480,8225760,480,10276032,8225760,480,480,480
152,480.0,480.0,3078912.0,7191792.0,8225760.0,8232048,480,10276032,720,8219712,480,10294176,8231808,480,480,480
