,1_port4,1_port1,1_port2,1_port3,2_port1,2_port2,3_port1,3_port2,4_port1,4_port2,5_port4,5_port1,5_port2,5_port3
68,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,635520.0,480.0,720.0,635760.0,1000.0,480.0,480.0
69,480.0,720.0,635520.0,480.0,480.0,480.0,720.0,635520.0,720.0,480.0,629472.0,480.0,480.0,480.0
70,480.0,480.0,629472.0,480.0,720.0,720.0,480.0,629712.0,480.0,480.0,635520.0,480.0,480.0,480.0
71,720.0,480.0,635760.0,720.0,480.0,480.0,480.0,635520.0,480.0,480.0,629472.0,480.0,480.0,480.0
72,480.0,480.0,635520.0,480.0,480.0,480.0,480.0,629472.0,480.0,480.0,635760.0,480.0,720.0,720.0
73,480.0,480.0,629472.0,480.0,480.0,480.0,480.0,635520.0,720.0,720.0,635520.0,720.0,480.0,480.0
74,480.0,720.0,629472.0,480.0,480.0,720.0,720.0,629712.0,480.0,480.0,629472.0,480.0,480.0,480.0
75,6528.0,480.0,556576.0,720.0,720.0,480.0,6528.0,556336.0,480.0,480.0,556336.0,6528.0,480.0,480.0
76,720.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,720.0
77,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,720.0,720.0,720.0,480.0,480.0
78,480.0,720.0,702048.0,480.0,480.0,480.0,720.0,696000.0,720.0,480.0,480.0,480.0,480.0,689952.0
79,480.0,480.0,2056800.0,480.0,720.0,720.0,480.0,2057040.0,480.0,480.0,480.0,480.0,480.0,2056800.0
80,720.0,480.0,2057040.0,720.0,480.0,480.0,480.0,2062848.0,480.0,480.0,480.0,480.0,480.0,2062848.0
81,480.0,480.0,2062848.0,480.0,480.0,480.0,480.0,2056800.0,480.0,480.0,720.0,480.0,720.0,2057040.0
82,480.0,480.0,3774432.0,480.0,480.0,480.0,480.0,3762336.0,720.0,720.0,480.0,720.0,480.0,3750240.0
83,480.0,720.0,7348800.0,480.0,480.0,720.0,720.0,7349040.0,480.0,480.0,480.0,480.0,480.0,7354848.0
84,480.0,480.0,7058496.0,720.0,720.0,480.0,480.0,7058496.0,480.0,480.0,480.0,480.0,480.0,7052448.0
85,720.0,480.0,10246032.0,480.0,480.0,480.0,480.0,10221600.0,480.0,480.0,2988192.0,480.0,480.0,7209936.0
86,480.0,480.0,16469184.0,480.0,480.0,480.0,480.0,16475232.0,480.0,480.0,9248112.0,720.0,720.0,7191552.0
87,480.0,8752176.0,7693536.0,480.0,480.0,8733792.0,720.0,7711680.0,720.0,8709840.0,9193440.0,480.0,480.0,7221792.0
88,480.0,9278112.0,7215744.0,480.0,480.0,9272304.0,480.0,7209936.0,480.0,9272064.0,9272064.0,480.0,480.0,7209696.0
89,720.0,9259968.0,7203888.0,720.0,720.0,9266016.0,480.0,7203648.0,480.0,9266016.0,9266016.0,480.0,480.0,7203648.0
