,1_port_1,1_port_2,1_port_3,1_port_4,1_port_5,2_port_1,2_port_2,2_port_3,2_port_4,2_port_5,3_port_1,3_port_2,3_port_3,3_port_4,3_port_5,4_port_1,4_port_2,4_port_3,4_port_4,4_port_5,5_port_1,5_port_2,5_port_3,5_port_4,5_port_5
13091,480.0,943488.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,949536.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,943488.0,480.0,949536.0,480.0,480.0
13092,480.0,949536.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,949536.0,949536.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,949536.0,480.0,943488.0,480.0,480.0
13093,480.0,1106784.0,955584.0,480.0,480.0,480.0,480.0,955584.0,480.0,480.0,949536.0,1106784.0,955584.0,480.0,480.0,480.0,480.0,955584.0,480.0,480.0,949536.0,480.0,1106784.0,480.0,480.0
13094,480.0,1893024.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,943488.0,1886976.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,949536.0,480.0,1893024.0,480.0,480.0
13095,480.0,1899072.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,1899072.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,1899072.0,480.0,480.0
13096,480.0,1899072.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,1899072.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,1893024.0,480.0,480.0
13097,480.0,1899072.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,1899072.0,949536.0,480.0,480.0,480.0,480.0,949536.0,480.0,480.0,949536.0,480.0,1899072.0,480.0,480.0
13098,480.0,1893024.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,949536.0,1893024.0,943488.0,480.0,480.0,480.0,480.0,943488.0,480.0,480.0,943488.0,480.0,1893024.0,480.0,480.0
13099,480.0,1905120.0,97456.0,480.0,480.0,480.0,480.0,97456.0,480.0,480.0,91408.0,1905120.0,97456.0,480.0,480.0,480.0,480.0,97456.0,480.0,480.0,91408.0,480.0,1899072.0,6048.0,480.0
13100,480.0,1893024.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1893024.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1899072.0,480.0,480.0
